Date,Open,High,Low,Close,Adj Close,Volume
10/06/2016,98.529999,99.349998,98.480003,98.830002,95.856819,31712900
13/06/2016,98.690002,99.120003,97.099998,97.339996,94.411652,38020500
14/06/2016,97.32,98.480003,96.75,97.459999,94.52803,31931900
15/06/2016,97.82,98.410004,97.029999,97.139999,94.217667,29445200
16/06/2016,96.449997,97.75,96.07,97.550003,94.615334,31326800
17/06/2016,96.620003,96.650002,95.300003,95.330002,92.46212,61008200
20/06/2016,96,96.57,95.029999,95.099998,92.239037,34411900
21/06/2016,94.940002,96.349998,94.68,95.910004,93.024666,35546400
22/06/2016,96.25,96.889999,95.349998,95.550003,92.675507,29219100
23/06/2016,95.940002,96.290001,95.25,96.099998,93.208954,32240200
24/06/2016,92.910004,94.660004,92.650002,93.400002,90.590187,75311400
27/06/2016,93,93.050003,91.5,92.040001,89.271095,45489600
28/06/2016,92.900002,93.660004,92.139999,93.589996,90.774452,40444900
29/06/2016,93.970001,94.550003,93.629997,94.400002,91.560097,36531000
30/06/2016,94.440002,95.769997,94.300003,95.599998,92.723991,35836400
01/07/2016,95.489998,96.470001,95.330002,95.889999,93.005264,26026500
05/07/2016,95.389999,95.400002,94.459999,94.989998,92.132347,27705200
06/07/2016,94.599998,95.660004,94.370003,95.529999,92.656097,30949100
07/07/2016,95.699997,96.5,95.620003,95.940002,93.053764,25139600
08/07/2016,96.489998,96.889999,96.050003,96.68,93.771507,28912100
11/07/2016,96.75,97.650002,96.730003,96.980003,94.062469,23794900
12/07/2016,97.169998,97.699997,97.120003,97.419998,94.48925,24167500
13/07/2016,97.410004,97.669998,96.839996,96.870003,93.955788,25892200
14/07/2016,97.389999,98.989998,97.32,98.790001,95.818039,38919000
15/07/2016,98.919998,99.300003,98.5,98.779999,95.808319,30137000
18/07/2016,98.699997,100.129997,98.599998,99.830002,96.826736,36493900
19/07/2016,99.559998,100,99.339996,99.870003,96.865524,23779900
20/07/2016,100,100.459999,99.739998,99.959999,96.952835,26276000
21/07/2016,99.830002,101,99.129997,99.43,96.438766,32702000
22/07/2016,99.260002,99.300003,98.309998,98.660004,95.691956,28313700
25/07/2016,98.25,98.839996,96.919998,97.339996,94.411652,40382900
26/07/2016,96.82,97.970001,96.419998,96.669998,93.761803,56239800
27/07/2016,104.269997,104.349998,102.75,102.949997,99.852875,92344800
28/07/2016,102.830002,104.449997,102.82,104.339996,101.201065,39869800
29/07/2016,104.190002,104.550003,103.68,104.209999,101.074974,27733700
01/08/2016,104.410004,106.150002,104.410004,106.050003,102.859627,38167900
02/08/2016,106.050003,106.07,104,104.480003,101.336853,33816600
03/08/2016,104.809998,105.839996,104.769997,105.790001,102.607445,30202600
04/08/2016,105.580002,106,105.279999,105.870003,103.241302,27408700
05/08/2016,106.269997,107.650002,106.18,107.480003,104.811317,40553400
08/08/2016,107.519997,108.370003,107.160004,108.370003,105.679222,28037200
09/08/2016,108.230003,108.940002,108.010002,108.809998,106.108307,26315200
10/08/2016,108.709999,108.900002,107.760002,108,105.318413,24008500
11/08/2016,108.519997,108.93,107.849998,107.93,105.250153,27484500
12/08/2016,107.779999,108.440002,107.779999,108.18,105.493942,18660400
15/08/2016,108.139999,109.540001,108.080002,109.480003,106.761665,25868200
16/08/2016,109.629997,110.230003,109.209999,109.379997,106.664139,33794400
17/08/2016,109.099998,109.370003,108.339996,109.220001,106.508125,25356000
18/08/2016,109.230003,109.599998,109.019997,109.080002,106.371605,21984700
19/08/2016,108.769997,109.690002,108.360001,109.360001,106.644638,25368100
22/08/2016,108.860001,109.099998,107.849998,108.510002,105.81575,25820200
23/08/2016,108.589996,109.32,108.529999,108.849998,106.147301,21257700
24/08/2016,108.57,108.75,107.68,108.029999,105.347672,23675100
25/08/2016,107.389999,107.879997,106.68,107.57,104.899086,25086200
26/08/2016,107.410004,107.949997,106.309998,106.940002,104.284737,27766300
29/08/2016,106.620003,107.440002,106.290001,106.82,104.167717,24970300
30/08/2016,105.800003,106.5,105.5,106,103.368065,24863900
31/08/2016,105.660004,106.57,105.639999,106.099998,103.465576,29662400
01/09/2016,106.139999,106.800003,105.620003,106.730003,104.079948,26701500
02/09/2016,107.699997,108,106.82,107.730003,105.055122,26802500
06/09/2016,107.900002,108.300003,107.510002,107.699997,105.025856,26880400
07/09/2016,107.830002,108.760002,107.07,108.360001,105.669479,42364300
08/09/2016,107.25,107.269997,105.239998,105.519997,102.900002,53002000
09/09/2016,104.639999,105.720001,103.129997,103.129997,100.569328,46557000
12/09/2016,102.650002,105.720001,102.529999,105.440002,102.821976,45292800
13/09/2016,107.510002,108.790001,107.239998,107.949997,105.269653,62176200
14/09/2016,108.730003,113.029999,108.599998,111.769997,108.994804,110888700
15/09/2016,113.860001,115.730003,113.489998,115.57,112.700455,89983600
16/09/2016,115.120003,116.129997,114.040001,114.919998,112.066589,79886900
19/09/2016,115.190002,116.18,113.25,113.580002,110.759865,47023000
20/09/2016,113.050003,114.120003,112.510002,113.57,110.750114,34514300
21/09/2016,113.849998,113.989998,112.440002,113.550003,110.730614,36003200
22/09/2016,114.349998,114.940002,114,114.620003,111.77404,31074000
23/09/2016,114.419998,114.790001,111.550003,112.709999,109.911469,52481200
26/09/2016,111.639999,113.389999,111.550003,112.879997,110.077232,29869400
27/09/2016,113,113.18,112.339996,113.089996,110.282028,24607400
28/09/2016,113.690002,114.639999,113.43,113.949997,111.120674,29641100
29/09/2016,113.160004,113.800003,111.800003,112.18,109.394623,35887000
30/09/2016,112.459999,113.370003,111.800003,113.050003,110.243034,36379100
03/10/2016,112.709999,113.050003,112.279999,112.519997,109.726181,21701800
04/10/2016,113.059998,114.309998,112.629997,113,110.194267,29736800
05/10/2016,113.400002,113.660004,112.690002,113.050003,110.243034,21453100
06/10/2016,113.699997,114.339996,113.129997,113.889999,111.062164,28779300
07/10/2016,114.309998,114.559998,113.510002,114.059998,111.227943,24358400
10/10/2016,115.019997,116.75,114.720001,116.050003,113.168541,36236000
11/10/2016,117.699997,118.690002,116.199997,116.300003,113.412331,64041000
12/10/2016,117.349998,117.980003,116.75,117.339996,114.426506,37586800
13/10/2016,116.790001,117.440002,115.720001,116.980003,114.075439,35192400
14/10/2016,117.879997,118.169998,117.129997,117.629997,114.709312,35652200
17/10/2016,117.330002,117.839996,116.779999,117.550003,114.631294,23624900
18/10/2016,118.18,118.209999,117.449997,117.470001,114.553284,24553500
19/10/2016,117.25,117.760002,113.800003,117.120003,114.211975,20034600
20/10/2016,116.860001,117.379997,116.330002,117.059998,114.153458,24125800
21/10/2016,116.809998,116.910004,116.279999,116.599998,113.70488,23192700
24/10/2016,117.099998,117.739998,117,117.650002,114.728798,23538700
25/10/2016,117.949997,118.360001,117.309998,118.25,115.313919,48129000
26/10/2016,114.309998,115.699997,113.309998,115.589996,112.719963,66134200
27/10/2016,115.389999,115.860001,114.099998,114.480003,111.63752,34562000
28/10/2016,113.870003,115.209999,113.449997,113.720001,110.896393,37861700
31/10/2016,113.650002,114.230003,113.199997,113.540001,110.720856,26419400
01/11/2016,113.459999,113.769997,110.529999,111.489998,108.721756,43825800
02/11/2016,111.400002,112.349998,111.230003,111.589996,108.819275,28331700
03/11/2016,110.980003,111.459999,109.550003,109.830002,107.652863,26932600
04/11/2016,108.529999,110.25,108.110001,108.839996,106.68248,30837000
07/11/2016,110.080002,110.510002,109.459999,110.410004,108.221375,32560000
08/11/2016,110.309998,111.720001,109.699997,111.059998,108.858475,24054500
09/11/2016,109.879997,111.32,108.050003,110.879997,108.682053,59176400
10/11/2016,111.089996,111.089996,105.830002,107.790001,105.653305,57134500
11/11/2016,107.120003,108.870003,106.550003,108.43,106.280617,34094100
14/11/2016,107.709999,107.809998,104.080002,105.709999,103.614532,51175500
15/11/2016,106.57,107.68,106.160004,107.110001,104.986778,32264500
16/11/2016,106.699997,110.230003,106.599998,109.989998,107.809685,58840500
17/11/2016,109.809998,110.349998,108.830002,109.949997,107.770493,27632000
18/11/2016,109.720001,110.540001,109.660004,110.059998,107.878304,28428900
21/11/2016,110.120003,111.989998,110.010002,111.730003,109.515205,29264600
22/11/2016,111.949997,112.419998,111.400002,111.800003,109.583809,25965500
23/11/2016,111.360001,111.510002,110.330002,111.230003,109.025116,27426400
25/11/2016,111.129997,111.870003,110.949997,111.790001,109.574013,11475900
28/11/2016,111.43,112.470001,111.389999,111.57,109.358368,27194000
29/11/2016,110.779999,112.029999,110.07,111.459999,109.250565,28528800
30/11/2016,111.599998,112.199997,110.269997,110.519997,108.329185,36162300
01/12/2016,110.370003,110.940002,109.029999,109.489998,107.319611,37086900
02/12/2016,109.169998,110.089996,108.849998,109.900002,107.721481,26528000
05/12/2016,110,110.029999,108.25,109.110001,106.947144,34324500
06/12/2016,109.5,110.360001,109.190002,109.949997,107.770493,26195500
07/12/2016,109.260002,111.190002,109.160004,111.029999,108.829071,29998700
08/12/2016,110.860001,112.43,110.599998,112.120003,109.897469,27068300
09/12/2016,112.309998,114.699997,112.309998,113.949997,111.691193,34402600
12/12/2016,113.290001,115,112.489998,113.300003,111.054092,26374400
13/12/2016,113.839996,115.919998,113.75,115.190002,112.906616,43733800
14/12/2016,115.040001,116.199997,114.980003,115.190002,112.906616,34031800
15/12/2016,115.379997,116.730003,115.230003,115.82,113.524132,46524500
16/12/2016,116.470001,116.5,115.650002,115.970001,113.671158,44351100
19/12/2016,115.800003,117.379997,115.75,116.639999,114.327881,27779400
20/12/2016,116.739998,117.5,116.68,116.949997,114.631729,21425000
21/12/2016,116.800003,117.400002,116.779999,117.059998,114.739555,23783200
22/12/2016,116.349998,116.510002,115.639999,116.290001,113.984818,26085900
23/12/2016,115.589996,116.519997,115.589996,116.519997,114.210243,14181200
27/12/2016,116.519997,117.800003,116.489998,117.260002,114.935585,18296900
28/12/2016,117.519997,118.019997,116.199997,116.760002,114.445503,20905900
29/12/2016,116.449997,117.110001,116.400002,116.730003,114.416092,15039500
30/12/2016,116.650002,117.199997,115.43,115.82,113.524132,30586300
03/01/2017,115.800003,116.330002,114.760002,116.150002,113.847588,28781900
04/01/2017,115.849998,116.510002,115.75,116.019997,113.720169,21118100
05/01/2017,115.919998,116.860001,115.809998,116.610001,114.29847,22193600
06/01/2017,116.779999,118.160004,116.470001,117.910004,115.572701,31751900
09/01/2017,117.949997,119.43,117.940002,118.989998,116.631287,33561900
10/01/2017,118.769997,119.379997,118.300003,119.110001,116.748909,24462100
11/01/2017,118.739998,119.93,118.599998,119.75,117.376228,27588600
12/01/2017,118.900002,119.300003,118.209999,119.25,116.886131,27086200
13/01/2017,119.110001,119.620003,118.809998,119.040001,116.680298,26111900
17/01/2017,118.339996,120.239998,118.220001,120,117.621277,34439800
18/01/2017,120,120.5,119.709999,119.989998,117.611465,23713000
19/01/2017,119.400002,120.089996,119.370003,119.779999,117.405624,25597300
20/01/2017,120.449997,120.449997,119.730003,120,117.621277,32597900
23/01/2017,120,120.809998,119.769997,120.080002,117.699692,22050200
